dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff,year,number_of_staff_attending
02M630,Art and Design High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,9101112,129,,2018-2019,17
02M630,Art and Design High School,True,100304,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production Cluster,3,Approved,9101112,147,,2018-2019,17
02M630,Art and Design High School,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,9101112,103,,2018-2019,17
02M630,Art and Design High School,True,500402,Commercial and Advertising Art,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,164,,2018-2019,17
02M630,Art and Design High School,True,500406,Commercial Photography,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,66,,2018-2019,17
02M630,Art and Design High School,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",9,Approved,9101112,94,,2018-2019,17
02M630,Art and Design High School,True,500410,Illustration,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,635,,2018-2019,17
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,125,,2018-2019,17
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,77,,2018-2019,1
03M402,The Urban Assembly School for Green Careers,True,10601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",5,Non-Approved,9101112,81,,2018-2019,8
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,7,Approved,9101112,189,,2018-2019,8
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,258,,2018-2019,5
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,9101112,317,,2018-2019,5
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,130,,2018-2019,5
04M435,Manhattan Center for Science and Mathematics,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,0,Non-Approved,9101112,40,,2018-2019,1
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",5,Non-Approved,9101112,243,,2018-2019,2
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,9101112,418,,2018-2019,2
05M692,"High School for Mathematics, Science and Engineeri",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Non-Approved,91011,299,,2018-2019,1
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,2,Approved,9101112,377,,2018-2019,14
06M211,Inwood Early College for Health and Information Te,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Non-Approved,,0,,2018-2019,14
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,274,,2018-2019,5
06M468,High School for Health Careers and Sciences,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,9101112,102,,2018-2019,8
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,9101112,459,,2018-2019,1
07X522,Bronx Design and Construction Academy,True,150501,"Heating, Air Conditioning and Refrigeration Technology/Technician",Scientific Research and Engineering Cluster,3,Approved,9101112,113,,2018-2019,14
07X522,Bronx Design and Construction Academy,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,9101112,61,,2018-2019,14
07X522,Bronx Design and Construction Academy,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Approved,9101112,111,,2018-2019,14
07X522,Bronx Design and Construction Academy,True,460302,Electrician,Architecture and Construction Cluster,3,Approved,9101112,77,,2018-2019,14
07X522,Bronx Design and Construction Academy,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,4,Approved,101112,39,,2018-2019,14
07X600,Alfred E. Smith Career and Technical Education Hig,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,9101112,87,,2018-2019,13
07X600,Alfred E. Smith Career and Technical Education Hig,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,9101112,257,,2018-2019,13
07X600,Alfred E. Smith Career and Technical Education Hig,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,88,,2018-2019,13
08X530,Longwood Preparatory Academy,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",7,Non-Approved,9101112,147,,2018-2019,10
08X530,Longwood Preparatory Academy,False,220302,Legal Assistant/Paralegal,Law and Public Safety Cluster,2,Non-Approved,9101112,118,,2018-2019,10
08X559,School for Tourism and Hospitality,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,9101112,201,,2018-2019,3
09X324,Bronx Early College Academy for Teaching & Learnin,False,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,9101112,186,,2018-2019,3
09X365,Academy for Language and Technology,False,110199,"Computer Science, Other",Information Technology Cluster,8,Approved,9101112,74,,2018-2019,8
09X365,Academy for Language and Technology,False,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,1,Approved,9101112,259,,2018-2019,8
09X403,Bronx International High School,False,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,6,Non-Approved,101112,93,,2018-2019,4
09X403,Bronx International High School,False,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,5,Approved,9101112,201,,2018-2019,4
09X412,Bronx High School of Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,9101112,119,,2018-2019,1
10X213,Bronx Engineering and Technology Academy,False,151399,"Drafting/Design Engineering Technologies/Technicians, Other",Manufacturing Production Cluster,4,Approved,9101112,368,,2018-2019,6
10X237,"The Marie Curie School for Medicine, Nursing, and",False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,910,98,,2018-2019,7
10X264,Bronx Academy for Software Engineering (BASE),True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Non-Approved,9101112,399,,2018-2019,4
10X284,Bronx School of Law and Finance,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,200,,2018-2019,1
10X284,Bronx School of Law and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,2,Non-Approved,9101112,181,,2018-2019,1
10X368,In-Tech Academy (M.S. / High School 368),False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Approved,9101112,145,,2018-2019,11
10X368,In-Tech Academy (M.S. / High School 368),False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,180,,2018-2019,11
10X437,Fordham High School for the Arts,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",7,Non-Approved,9101112,108,,2018-2019,5
10X437,Fordham High School for the Arts,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,9101112,53,,2018-2019,5
10X439,Bronx High School for Law and Community Service,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,8,Non-Approved,9101112,154,,2018-2019,2
10X524,Crotona International High School,True,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,328,,2018-2019,7
10X565,High School for Energy and Technology,True,460302,Electrician,Architecture and Construction Cluster,5,Non-Approved,9101112,373,,2018-2019,11
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,9101112,326,,2018-2019,10
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,521401,"Marketing/Marketing Management, General",Marketing Sales and Services Cluster,3,Non-Approved,911,34,,2018-2019,10
11X275,High School of Computers and Technology,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,6,Approved,9101112,563,,2018-2019,12
11X418,Bronx High School for the Visual Arts,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,9101112,447,,2018-2019,5
11X508,Bronxdale High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Non-Approved,9101112,154,,2018-2019,0
11X545,Bronx Aerospace High School,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Non-Approved,9101112,272,,2018-2019,13
13K419,"Science Skills Center High School for Science, Tec",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Non-Approved,9101112,169,,2018-2019,10
13K430,Brooklyn Technical High School,False,90102,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications Cluster",7,Approved,9101112,600,,2018-2019,12
13K430,Brooklyn Technical High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,3,Approved,9101112,1695,,2018-2019,12
13K430,Brooklyn Technical High School,False,151301,"Drafting and Design Technology/Technician, General",Manufacturing Production Cluster,2,Approved,9101112,2341,,2018-2019,12
13K430,Brooklyn Technical High School,False,430103,Criminal Justice/Law Enforcement Administration,Law and Public Safety Cluster,11,Non-Approved,1112,334,,2018-2019,12
13K499,ACORN Community High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,1,Non-Approved,9101112,123,,2018-2019,1
13K605,George Westinghouse Career and Technical Education,True,111004,Web/Multimedia Management and Webmaster,Information Technology Cluster,2,Non-Approved,9101112,176,,2018-2019,18
13K605,George Westinghouse Career and Technical Education,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Approved,9101112,191,,2018-2019,18
13K605,George Westinghouse Career and Technical Education,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,4,Non-Approved,9101112,178,,2018-2019,18
13K605,George Westinghouse Career and Technical Education,True,460302,Electrician,Architecture and Construction Cluster,5,Approved,9101112,191,,2018-2019,18
13K674,"City Polytechnic High School of Engineering, Archi",True,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,3,Approved,9101112,420,,2018-2019,4
14K454,The Williamsburg High School of Art and Technology,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,9101112,234,,2018-2019,7
14K477,East Williamsburg Scholars Academy,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,9,Non-Approved,9101112,159,,2018-2019,6
14K478,"The High School for Enterprise, Business and Techn",False,111002,"System, Networking and LAN/WAN Management/Manager",Information Technology Cluster,1,Approved,9101112,315,,2018-2019,15
14K478,"The High School for Enterprise, Business and Techn",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,4,Non-Approved,9101112,162,,2018-2019,15
14K478,"The High School for Enterprise, Business and Techn",False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Approved,9101112,310,,2018-2019,15
14K558,Williamsburg High School for Architecture and Desi,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,4,Approved,9101112,574,,2018-2019,3
14K610,Automotive High School,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,9101112,200,,2018-2019,10
14K610,Automotive High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,,0,,2018-2019,10
15K497,The Boerum Hill School for International Studies,False,120599,"Culinary Arts and Related Services, Other",Hospitality and Tourism Cluster,5,Approved,9101112,218,,2018-2019,3
15K519,Cobble Hill School of American Studies,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,319,,2018-2019,7
16K455,Boys and Girls High School,False,460302,Electrician,Architecture and Construction Cluster,4,Non-Approved,9101112,147,,2018-2019,5
16K688,The Brooklyn Academy of Global Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Non-Approved,9101112,113,,2018-2019,3
17K122,Pathways in Technology Early College High School (,True,150403,Electromechanical Technology/Electromechanical Engineering Technology,Manufacturing Production Cluster,1,Non-Approved,101112,103,,2018-2019,14
17K122,Pathways in Technology Early College High School (,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Non-Approved,9101112,475,,2018-2019,14
17K408,Academy of Hospitality and Tourism,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Non-Approved,9101112,109,,2018-2019,5
17K408,Academy of Hospitality and Tourism,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Non-Approved,9101112,79,,2018-2019,5
17K543,"Science, Technology and Research Early College Hig",False,460302,Electrician,Architecture and Construction Cluster,3,Non-Approved,101112,98,,2018-2019,1
17K548,Brooklyn School for Music & Theatre,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,243,,2018-2019,0
17K600,Clara Barton High School,True,510601,Dental Assisting/Assistant,Health Science Cluster,5,Approved,9101112,135,,2018-2019,13
17K600,Clara Barton High School,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,129,,2018-2019,13
17K600,Clara Barton High School,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,2,Approved,101112,46,,2018-2019,13
17K600,Clara Barton High School,True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,4,Approved,9101112,136,,2018-2019,13
17K600,Clara Barton High School,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Approved,9101112,317,,2018-2019,13
17K751,Academy for Health Careers,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,9101112,302,,2018-2019,3
18K567,Brooklyn Theatre Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,9101112,275,,2018-2019,1
18K617,High School for Innovation in Advertising and Medi,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,4,Non-Approved,9101112,252,,2018-2019,10
19K502,FDNY - Captain Vernon A. Richard High School for F,False,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,9101112,107,,2018-2019,3
19K510,World Academy for Total Community Health High Scho,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,5,Approved,9101112,67,,2018-2019,4
19K583,Multicultural High School,False,490101,"Aeronautics/Aviation/Aerospace Science and Technology, General","Transportation, Distribution and Logistics Cluster",2,Non-Approved,11,3,,2018-2019,2
19K615,Transit Tech Career and Technical Education High S,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,9,Approved,9101112,47,,2018-2019,17
19K615,Transit Tech Career and Technical Education High S,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,9101112,219,,2018-2019,17
19K615,Transit Tech Career and Technical Education High S,True,470105,Industrial Electronics Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112,32,,2018-2019,17
19K615,Transit Tech Career and Technical Education High S,True,479999,"Mechanic and Repair Technologies/Technicians, Other","Transportation, Distribution and Logistics Cluster",9,Approved,9101112,193,,2018-2019,17
19K618,Academy of Innovative Technology,True,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,4,Approved,9101112,88,,2018-2019,9
19K618,Academy of Innovative Technology,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,3,Approved,9101112,186,,2018-2019,9
19K618,Academy of Innovative Technology,True,500411,Game and Interactive Media Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,86,,2018-2019,9
19K660,W. H. Maxwell Career and Technical Education High,True,100105,Communications Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,90,,2018-2019,7
19K660,W. H. Maxwell Career and Technical Education High,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,2,Approved,9101112,151,,2018-2019,7
19K660,W. H. Maxwell Career and Technical Education High,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,43,,2018-2019,7
19K660,W. H. Maxwell Career and Technical Education High,True,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,2,Non-Approved,9101112,44,,2018-2019,7
19K660,W. H. Maxwell Career and Technical Education High,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,3,Approved,9101112,43,,2018-2019,7
19K764,The Urban Assembly School for Collaborative Health,True,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,5,Non-Approved,9101112,184,,2018-2019,8
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,9101112,162,,2018-2019,13
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,6,Non-Approved,9101112,315,,2018-2019,13
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,9101112,264,,2018-2019,13
20K445,New Utrecht High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,4,Non-Approved,9101112,139,,2018-2019,13
20K485,High School of Telecommunication Arts and Technolo,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,9101112,236,,2018-2019,1
20K490,Fort Hamilton High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,101112,96,,2018-2019,8
20K490,Fort Hamilton High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,901,,2018-2019,8
21K410,Abraham Lincoln High School,False,510808,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science Cluster,2,Approved,9101112,336,,2018-2019,6
21K410,Abraham Lincoln High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,9101112,66,,2018-2019,6
21K525,Edward R. Murrow High School,False,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,575,,2018-2019,8
21K525,Edward R. Murrow High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,9101112,113,,2018-2019,8
21K525,Edward R. Murrow High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,715,,2018-2019,8
21K540,John Dewey High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Non-Approved,9101112,234,,2018-2019,7
21K559,Life Academy High School for Film and Music,False,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112,278,,2018-2019,2
21K620,William E. Grady Career and Technical Education Hi,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,4,Approved,9101112,77,,2018-2019,8
21K620,William E. Grady Career and Technical Education Hi,True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,4,Non-Approved,9101112,83,,2018-2019,8
21K620,William E. Grady Career and Technical Education Hi,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,9101112,121,,2018-2019,8
21K620,William E. Grady Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,91112,24,,2018-2019,8
21K620,William E. Grady Career and Technical Education Hi,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,4,Approved,101112,26,,2018-2019,8
21K690,Brooklyn Studio Secondary School,False,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,274,,2018-2019,6
22K405,Midwood High School,False,90199,"Communications and Media Studies, Other","Arts, Audio/Video Technology and Communications Cluster",5,Approved,9101112,347,,2018-2019,7
22K405,Midwood High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,2,Approved,101112,387,,2018-2019,7
22K405,Midwood High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,374,,2018-2019,7
22K425,James Madison High School,False,110103,Information Technology,Information Technology Cluster,4,Non-Approved,9101112,501,,2018-2019,5
22K425,James Madison High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112,625,,2018-2019,5
22K425,James Madison High School,False,520899,"Finance and Financial Management Services, Other",Finance Cluster,3,Non-Approved,9101112,77,,2018-2019,5
24Q264,Academy of Finance and Enterprise,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Approved,9101112,299,,2018-2019,5
24Q264,Academy of Finance and Enterprise,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,283,,2018-2019,5
24Q455,Newtown High School,False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,9101112,365,,2018-2019,3
24Q455,Newtown High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,4,Approved,9101112,325,,2018-2019,3
24Q485,Grover Cleveland High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,4,Non-Approved,9101112,231,,2018-2019,6
24Q485,Grover Cleveland High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,4,Non-Approved,9101112,203,,2018-2019,6
24Q550,High School for Arts and Business,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Non-Approved,9101112,248,,2018-2019,5
24Q550,High School for Arts and Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,192,,2018-2019,5
24Q600,Queens Technical High School,True,110803,Computer Graphics,Information Technology Cluster,4,Approved,9101112,109,,2018-2019,18
24Q600,Queens Technical High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Approved,9101112,172,,2018-2019,18
24Q600,Queens Technical High School,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,4,Approved,9101112,212,,2018-2019,18
24Q600,Queens Technical High School,True,120402,Barbering/Barber,Marketing Sales and Services Cluster,3,Non-Approved,91011,46,,2018-2019,18
24Q600,Queens Technical High School,True,150303,"Electrical, Electronic and Communications Engineering Technology/Technician",Scientific Research and Engineering Cluster,2,Approved,91112,175,,2018-2019,18
24Q600,Queens Technical High School,True,460302,Electrician,Architecture and Construction Cluster,4,Approved,9101112,288,,2018-2019,18
24Q600,Queens Technical High School,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,4,Approved,9101112,95,,2018-2019,18
24Q600,Queens Technical High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,4,Approved,9101112,206,,2018-2019,18
24Q600,Queens Technical High School,True,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112,184,,2018-2019,18
24Q610,Aviation Career & Technical Education High School,True,470608,Aircraft Powerplant Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112,2083,,2018-2019,8
25Q425,John Bowne High School,False,10000,"Agriculture, General","Agriculture, Food and Natural Resources Cluster",0,Approved,9101112,613,,2018-2019,11
25Q425,John Bowne High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,4,Non-Approved,9101112,628,,2018-2019,11
25Q460,Flushing High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,13,Non-Approved,9101112,416,,2018-2019,7
25Q460,Flushing High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,5,Approved,9101112,160,,2018-2019,7
25Q460,Flushing High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,9101112,182,,2018-2019,7
25Q525,Townsend Harris High School,False,90402,Broadcast Journalism,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112,321,,2018-2019,5
25Q525,Townsend Harris High School,False,150401,Biomedical Technology/Technician,Scientific Research and Engineering Cluster,3,Non-Approved,101112,177,,2018-2019,5
25Q525,Townsend Harris High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,2,Non-Approved,101112,150,,2018-2019,5
25Q525,Townsend Harris High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,9101112,28,,2018-2019,5
26Q315,Business Technology Early College High School,True,110103,Information Technology,Information Technology Cluster,1,Non-Approved,9101112,518,,2018-2019,4
26Q430,Francis Lewis High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,1,Non-Approved,9101112,231,,2018-2019,3
26Q430,Francis Lewis High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,1112,28,,2018-2019,3
26Q430,Francis Lewis High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,4,Non-Approved,1112,85,,2018-2019,3
26Q495,Bayside High School,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,9101112,517,,2018-2019,19
26Q495,Bayside High School,False,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",12,Approved,9101112,486,,2018-2019,19
26Q495,Bayside High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Approved,9101112,592,,2018-2019,19
26Q495,Bayside High School,False,150507,Environmental Engineering Technology/Environmental Technology,"Agriculture, Food and Natural Resources Cluster",5,Approved,9101112,322,,2018-2019,19
26Q495,Bayside High School,False,399031,Fitness Trainers & Aerobics Instructors,Education and Training Cluster,10,Approved,9101112,700,,2018-2019,19
31R460,Susan E. Wagner High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112,124,,2018-2019,4
26Q495,Bayside High School,False,449999,"Public Administration and Social Service Professions, Other",Government and Public Administration Cluster,5,Non-Approved,9101112,270,,2018-2019,19
27Q302,"Queens High School for Information, Research, and",False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Non-Approved,9101112,112,,2018-2019,3
27Q324,Rockaway Park High School for Environmental Sustai,False,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Non-Approved,9101112,22,,2018-2019,2
27Q351,Rockaway Collegiate High School,False,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,0,Non-Approved,9101112,150,,2018-2019,2
27Q400,August Martin High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,1,Non-Approved,9101112,131,,2018-2019,3
27Q475,Richmond Hill High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,6,Non-Approved,9101112,86,,2018-2019,12
27Q475,Richmond Hill High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Non-Approved,91011,124,,2018-2019,12
27Q480,John Adams High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,10,Non-Approved,9101112,162,,2018-2019,6
27Q650,"High School for Construction Trades, Engineering a",True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,7,Approved,9101112,339,,2018-2019,11
27Q650,"High School for Construction Trades, Engineering a",True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,7,Approved,9101112,353,,2018-2019,11
