dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,year,staff_attending
02M542,Manhattan Bridges High School,False,151304,Civil Drafting and Civil Engineering CAD/CADD,Manufacturing Production Cluster,2,Approved,"9,10,11,12",208,2019-2020,2.0
02M542,Manhattan Bridges High School,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,"9,10,11,12",240,2019-2020,2.0
02M546,Academy for Software Engineering,True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,"9,10,11,12",446,2019-2020,3.0
02M551,Urban Assembly New York Harbor School,True,10303,Aquaculture,"Agriculture, Food and Natural Resources Cluster",0,Approved,"9,10,11,12",80,2019-2020,9.0
02M551,Urban Assembly New York Harbor School,True,30205,"Water, Wetlands and Marine Resources Management","Agriculture, Food and Natural Resources Cluster",0,Approved,"9,10,11,12",99,2019-2020,9.0
02M551,Urban Assembly New York Harbor School,True,470616,Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,"9,10,11,12",121,2019-2020,9.0
02M551,Urban Assembly New York Harbor School,True,480599,"Precision Metal Working, Other",Manufacturing Production Cluster,6,Approved,"9,10,11,12",86,2019-2020,9.0
02M551,Urban Assembly New York Harbor School,True,490309,Marine Science/Merchant Marine Officer,"Transportation, Distribution and Logistics Cluster",4,Approved,"9,10,11,12",60,2019-2020,9.0
02M551,Urban Assembly New York Harbor School,True,490399,"Marine Transportation, Other","Transportation, Distribution and Logistics Cluster",0,Non-Approved,"9,10,11,12",71,2019-2020,9.0
02M600,The High School of Fashion Industries,True,190905,Apparel and Textile Marketing Management,Marketing Sales and Services Cluster,0,Approved,"9,10,11,12",273,2019-2020,4.0
02M600,The High School of Fashion Industries,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",709,2019-2020,4.0
02M600,The High School of Fashion Industries,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",520,2019-2020,4.0
02M600,The High School of Fashion Industries,True,521902,Fashion Merchandising,Marketing Sales and Services Cluster,5,Approved,"9,10,11,12",69,2019-2020,4.0
02M615,Chelsea Career and Technical Education High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,6,Approved,"9,10,11,12",98,2019-2020,5.0
02M615,Chelsea Career and Technical Education High School,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,6,Approved,"9,10,11,12",61,2019-2020,5.0
02M615,Chelsea Career and Technical Education High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",282,2019-2020,5.0
02M630,Art and Design High School,True,100303,Prepress/Desktop Publishing and Digital Imaging Design,Manufacturing Production Cluster,3,Approved,"9,10,11,12",128,2019-2020,8.0
02M630,Art and Design High School,True,100304,"Animation, Interactive Technology, Video Graphics and Special Effects",Manufacturing Production Cluster,3,Approved,"10,11,12",143,2019-2020,8.0
02M630,Art and Design High School,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,3,Approved,"9,10,11,12",114,2019-2020,8.0
02M630,Art and Design High School,True,500402,Commercial and Advertising Art,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"10,11,12",192,2019-2020,8.0
02M630,Art and Design High School,True,500406,Commercial Photography,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",66,2019-2020,8.0
02M630,Art and Design High School,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",9,Approved,"9,10,11,12",103,2019-2020,8.0
02M630,Art and Design High School,True,500410,Illustration,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",569,2019-2020,8.0
02M630,Art and Design High School,True,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",140,2019-2020,8.0
03M299,The Maxine Greene HS for Imaginative Inquiry,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,,0,2019-2020,1.0
03M402,The Urban Assembly School for Green Careers,True,10601,"Applied Horticulture/Horticultural Operations, General","Agriculture, Food and Natural Resources Cluster",5,Approved,"9,10,11,12",146,2019-2020,1.0
03M402,The Urban Assembly School for Green Careers,True,460401,Building/Property Maintenance and Manager,Architecture and Construction Cluster,7,Approved,"9,10,11,12",144,2019-2020,1.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500301,"Dance, General","Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,"9,10,11,12",264,2019-2020,3.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",4,Non-Approved,"9,10,11,12",385,2019-2020,3.0
03M485,Fiorello H. LaGuardia High School of Music & Art a,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",148,2019-2020,3.0
04M435,Manhattan Center for Science and Mathematics,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,0,Non-Approved,"11,12",28,2019-2020,0.0
05M157,The Urban Assembly School for Global Commerce,True,520203,Logistics and Materials Management,"Transportation, Distribution and Logistics Cluster",5,Non-Approved,"9,10,11,12",208,2019-2020,0.0
05M362,Columbia Secondary School,False,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,2,Non-Approved,"9,10,11,12",397,2019-2020,0.0
05M692,"High School for Mathematics, Science and Engineeri",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Non-Approved,"9,10,11,12",404,2019-2020,1.0
06M211,Inwood Early College for Health and Information Te,True,110103,Information Technology,Information Technology Cluster,2,Approved,"9,10,11,12",383,2019-2020,2.0
06M211,Inwood Early College for Health and Information Te,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Non-Approved,,0,2019-2020,2.0
06M467,High School for Law and Public Service,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",242,2019-2020,1.0
06M468,High School for Health Careers and Sciences,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,"9,10,11,12",180,2019-2020,5.0
07X259,"H.E.R.O. High (Health, Education, and Research Occ",True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,2,Non-Approved,"9,10,11,12",335,2019-2020,1.0
07X522,Bronx Design and Construction Academy,True,150501,"Heating, Air Conditioning and Refrigeration Technology/Technician",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",40,2019-2020,7.0
07X522,Bronx Design and Construction Academy,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,"9,10,11,12",75,2019-2020,7.0
07X522,Bronx Design and Construction Academy,True,460201,Carpentry/Carpenter,Architecture and Construction Cluster,3,Approved,"9,10,11,12",86,2019-2020,7.0
07X522,Bronx Design and Construction Academy,True,460302,Electrician,Architecture and Construction Cluster,3,Approved,"9,10,11,12",58,2019-2020,7.0
07X522,Bronx Design and Construction Academy,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,4,Approved,"9,10,11,12",76,2019-2020,7.0
07X600,Alfred E. Smith Career and Technical Education Hig,True,470603,Autobody/Collision and Repair Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,"9,10,11,12",79,2019-2020,8.0
07X600,Alfred E. Smith Career and Technical Education Hig,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",4,Approved,"9,10,11,12",254,2019-2020,8.0
07X600,Alfred E. Smith Career and Technical Education Hig,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",90,2019-2020,8.0
08X530,Longwood Preparatory Academy,False,90702,Digital Communication and Media/Multimedia,"Arts, Audio/Video Technology and Communications Cluster",7,Approved,"9,10,11,12",225,2019-2020,5.0
08X559,School for Tourism and Hospitality,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,1,Non-Approved,"9,10,11,12",128,2019-2020,1.0
09X324,Bronx Early College Academy for Teaching & Learnin,False,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Non-Approved,"9,10,11,12",263,2019-2020,1.0
09X365,Academy for Language and Technology,False,110199,"Computer Science, Other",Information Technology Cluster,0,Approved,"9,10,11,12",194,2019-2020,2.0
09X365,Academy for Language and Technology,False,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,1,Approved,"9,10,11,12",160,2019-2020,2.0
09X403,Bronx International High School,False,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,6,Non-Approved,"9,10,11,12",178,2019-2020,3.0
09X403,Bronx International High School,False,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,5,Approved,"9,10,11,12",224,2019-2020,3.0
09X412,Bronx High School of Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,"9,10,11,12",136,2019-2020,1.0
10X213,Bronx Engineering and Technology Academy,False,151199,"Engineering Technology, Other",Scientific Research and Engineering Cluster,4,Approved,"9,10,11,12",334,2019-2020,3.0
10X237,"The Marie Curie School for Medicine, Nursing, and",False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,2,Non-Approved,"9,10,11,12",55,2019-2020,0.0
10X264,Bronx Academy for Software Engineering (BASE),True,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Approved,"9,10,11,12",394,2019-2020,2.0
10X284,Bronx School of Law and Finance,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"11,12",91,2019-2020,0.0
10X284,Bronx School of Law and Finance,False,520304,Accounting and Finance,Business Management and Administration Cluster,2,Non-Approved,"9,10,11,12",148,2019-2020,0.0
10X368,In-Tech Academy (M.S. / High School 368),False,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Approved,"9,10,11,12",127,2019-2020,7.0
10X368,In-Tech Academy (M.S. / High School 368),False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",137,2019-2020,7.0
10X437,Fordham High School for the Arts,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",7,Non-Approved,"9,10,11,12",179,2019-2020,1.0
10X439,Bronx High School for Law and Community Service,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",157,2019-2020,3.0
10X524,Crotona International High School,True,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",342,2019-2020,2.0
10X565,High School for Energy and Technology,True,460302,Electrician,Architecture and Construction Cluster,7,Approved,"9,10,11,12",362,2019-2020,6.0
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Approved,"9,10,11,12",257,2019-2020,5.0
11X270,Academy for Scholarship and Entrepreneurship: A Co,False,521401,"Marketing/Marketing Management, General",Marketing Sales and Services Cluster,3,Approved,"9,11,12",77,2019-2020,5.0
11X275,High School of Computers and Technology,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,6,Approved,"9,10,11,12",563,2019-2020,7.0
11X418,Bronx High School for the Visual Arts,False,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",4,Approved,"9,10,11,12",357,2019-2020,1.0
11X508,Bronxdale High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Non-Approved,"9,10,11,12",198,2019-2020,0.0
11X545,Bronx Aerospace High School,False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",161,2019-2020,5.0
13K419,"Science Skills Center High School for Science, Tec",False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Approved,"9,10,11,12",204,2019-2020,4.0
13K419,"Science Skills Center High School for Science, Tec",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,3,Approved,"9,10,11,12",123,2019-2020,4.0
13K430,Brooklyn Technical High School,False,90102,Mass Communications/Media Studies,"Arts, Audio/Video Technology and Communications Cluster",7,Approved,"9,10,11,12",829,2019-2020,9.0
13K430,Brooklyn Technical High School,False,150405,Robotics Technology/Technician,Manufacturing Production Cluster,1,Approved,"9,10,11,12",1375,2019-2020,9.0
13K430,Brooklyn Technical High School,False,151301,"Drafting and Design Technology/Technician, General",Manufacturing Production Cluster,1,Approved,"9,10,11,12",2345,2019-2020,9.0
13K430,Brooklyn Technical High School,False,430103,Criminal Justice/Law Enforcement Administration,Law and Public Safety Cluster,9,Non-Approved,"10,11,12",546,2019-2020,9.0
13K605,George Westinghouse Career and Technical Education,True,111004,Web/Multimedia Management and Webmaster,Information Technology Cluster,2,Approved,"10,11,12",144,2019-2020,9.0
13K605,George Westinghouse Career and Technical Education,True,119999,"Computer and Information Sciences and Support Services, Other",Information Technology Cluster,0,Approved,,0,2019-2020,9.0
13K605,George Westinghouse Career and Technical Education,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Approved,"9,10,11,12",318,2019-2020,9.0
13K605,George Westinghouse Career and Technical Education,True,460302,Electrician,Architecture and Construction Cluster,5,Approved,"9,10,11,12",137,2019-2020,9.0
13K674,"City Polytechnic High School of Engineering, Archi",True,150101,Architectural Engineering Technology/Technician,Architecture and Construction Cluster,3,Approved,"9,10,11,12",385,2019-2020,2.0
14K454,The Williamsburg High School of Art and Technology,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,"9,10,11,12",312,2019-2020,3.0
14K477,East Williamsburg Scholars Academy,False,430107,Criminal Justice/Police Science,Law and Public Safety Cluster,9,Non-Approved,"9,10,11,12",154,2019-2020,1.0
14K478,"The High School for Enterprise, Business and Techn",False,111002,"System, Networking and LAN/WAN Management/Manager",Information Technology Cluster,1,Approved,"9,10,11,12",270,2019-2020,16.0
14K478,"The High School for Enterprise, Business and Techn",False,150000,"Engineering Technology, General",Scientific Research and Engineering Cluster,4,Non-Approved,"9,10,11,12",200,2019-2020,16.0
14K478,"The High School for Enterprise, Business and Techn",False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,6,Approved,"9,10,11,12",246,2019-2020,16.0
14K558,Williamsburg High School for Architecture and Desi,True,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,4,Approved,"9,10,11,12",584,2019-2020,3.0
14K610,A-Tech High School,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,"9,10,11,12",180,2019-2020,5.0
14K610,A-Tech High School,True,500409,Graphic Design,"Arts, Audio/Video Technology and Communications Cluster",2,Approved,"10,11,12",48,2019-2020,5.0
15K497,The Boerum Hill School for International Studies,False,120599,"Culinary Arts and Related Services, Other",Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",209,2019-2020,1.0
15K519,Cobble Hill School of American Studies,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,10,Non-Approved,"9,10,11,12",223,2019-2020,0.0
16K455,Boys and Girls High School,False,460302,Electrician,Architecture and Construction Cluster,4,Approved,"9,10,11,12",88,2019-2020,4.0
16K688,The Brooklyn Academy of Global Finance,False,520201,"Business Administration and Management, General",Business Management and Administration Cluster,3,Approved,"9,10,11,12",118,2019-2020,0.0
17K122,Pathways in Technology Early College High School (,True,150403,Electromechanical Technology/Electromechanical Engineering Technology,Manufacturing Production Cluster,1,Non-Approved,"11,12",28,2019-2020,4.0
17K122,Pathways in Technology Early College High School (,True,151202,Computer Technology/Computer Systems Technology,Information Technology Cluster,2,Non-Approved,"9,10,11,12",508,2019-2020,4.0
17K408,Academy of Hospitality and Tourism,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",92,2019-2020,1.0
17K408,Academy of Hospitality and Tourism,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Approved,"9,10,11,12",136,2019-2020,1.0
17K543,"Science, Technology and Research Early College Hig",False,460302,Electrician,Architecture and Construction Cluster,3,Non-Approved,"10,11,12",98,2019-2020,1.0
17K548,Brooklyn School for Music & Theatre,False,500502,Technical Theater/Theater Design and Technology,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,"9,10,11,12",202,2019-2020,1.0
17K600,Clara Barton High School,True,510601,Dental Assisting/Assistant,Health Science Cluster,5,Approved,"9,10,11,12",128,2019-2020,5.0
17K600,Clara Barton High School,True,510603,Dental Laboratory Technology/Technician,Health Science Cluster,3,Approved,"9,10,11,12",223,2019-2020,5.0
17K600,Clara Barton High School,True,511613,Licensed Practical/Vocational Nurse Training,Health Science Cluster,4,Approved,"9,10,11,12",130,2019-2020,5.0
17K600,Clara Barton High School,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,3,Approved,"9,10,11,12",270,2019-2020,5.0
17K600,Clara Barton High School,True,511801,Opticianry/Ophthalmic Dispensing Optician,Health Science Cluster,2,Approved,"9,10,11,12",56,2019-2020,5.0
17K751,Academy for Health Careers,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,"9,10,11,12",275,2019-2020,2.0
18K567,Brooklyn Theatre Arts High School,False,500501,"Drama and Dramatics/Theatre Arts, General","Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,"9,10,11,12",144,2019-2020,0.0
18K617,High School for Innovation in Advertising and Medi,True,110899,"Computer Software and Media Applications, Other",Information Technology Cluster,4,Non-Approved,"9,10,11,12",191,2019-2020,3.0
19K502,FDNY - Captain Vernon A. Richard High School for F,False,510904,Emergency Medical Technology/Technician (EMT Paramedic),Health Science Cluster,2,Non-Approved,"10,11,12",59,2019-2020,2.0
19K510,World Academy for Total Community Health High Scho,False,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,5,Approved,"9,10,11,12",94,2019-2020,1.0
19K583,Multicultural High School,False,490101,"Aeronautics/Aviation/Aerospace Science and Technology, General","Transportation, Distribution and Logistics Cluster",2,Non-Approved,"9,10,12",13,2019-2020,1.0
19K615,Transit Tech Career and Technical Education High S,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,0,Approved,"9,10,11,12",131,2019-2020,8.0
19K615,Transit Tech Career and Technical Education High S,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Approved,"9,10,11,12",193,2019-2020,8.0
19K615,Transit Tech Career and Technical Education High S,True,470105,Industrial Electronics Technology/Technician,Manufacturing Production Cluster,2,Approved,"9,10,11,12",14,2019-2020,8.0
19K615,Transit Tech Career and Technical Education High S,True,479999,"Mechanic and Repair Technologies/Technicians, Other","Transportation, Distribution and Logistics Cluster",9,Approved,"9,10,11,12",110,2019-2020,8.0
19K618,Academy of Innovative Technology,True,110801,"Web Page, Digital/Multimedia and Information Resources Design",Information Technology Cluster,0,Approved,"10,11,12",81,2019-2020,3.0
19K618,Academy of Innovative Technology,True,470101,"Electrical/Electronics Equipment Installation and Repair, General",Information Technology Cluster,3,Approved,"9,10,11,12",244,2019-2020,3.0
19K618,Academy of Innovative Technology,True,500411,Game and Interactive Media Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"10,11,12",81,2019-2020,3.0
19K660,W. H. Maxwell Career and Technical Education High,True,100105,Communications Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",98,2019-2020,4.0
19K660,W. H. Maxwell Career and Technical Education High,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,0,Approved,"9,10,11,12",156,2019-2020,4.0
19K660,W. H. Maxwell Career and Technical Education High,True,500407,Fashion/Apparel Design,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"10,11,12",31,2019-2020,4.0
19K660,W. H. Maxwell Career and Technical Education High,True,511006,Ophthalmic Laboratory Technology/Technician,Health Science Cluster,3,Approved,"9,10,11,12",107,2019-2020,4.0
19K764,The Urban Assembly School for Collaborative Health,True,510801,Medical/Clinical Assistant,Health Science Cluster,5,Approved,,0,2019-2020,3.0
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,"9,10,11,12",166,2019-2020,9.0
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,6,Non-Approved,"9,10,11,12",307,2019-2020,9.0
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,"9,10,11,12",246,2019-2020,9.0
20K445,New Utrecht High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,4,Non-Approved,"9,10,11,12",148,2019-2020,9.0
20K485,High School of Telecommunication Arts and Technolo,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,2,Non-Approved,"9,11,12",184,2019-2020,0.0
20K490,Fort Hamilton High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",100,2019-2020,4.0
20K490,Fort Hamilton High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,"9,10,11,12",640,2019-2020,4.0
21K410,Abraham Lincoln High School,False,510808,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science Cluster,2,Approved,"9,10,11,12",321,2019-2020,4.0
21K410,Abraham Lincoln High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Non-Approved,"9,10,11,12",138,2019-2020,4.0
21K525,Edward R. Murrow High School,False,100203,Recording Arts Technology/Technician,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,"9,10,11,12",496,2019-2020,7.0
21K525,Edward R. Murrow High School,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,3,Non-Approved,"9,10,11,12",109,2019-2020,7.0
21K525,Edward R. Murrow High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",633,2019-2020,7.0
21K540,John Dewey High School,False,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Non-Approved,"9,10,11,12",332,2019-2020,2.0
21K559,Life Academy High School for Film and Music,False,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,"9,10,11,12",241,2019-2020,0.0
21K620,William E. Grady Career and Technical Education Hi,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,4,Approved,"9,10,11,12",127,2019-2020,2.0
21K620,William E. Grady Career and Technical Education Hi,True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,4,Approved,"9,10,11,12",85,2019-2020,2.0
21K620,William E. Grady Career and Technical Education Hi,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,3,Approved,"9,10,11,12",134,2019-2020,2.0
21K620,William E. Grady Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,"9,10,11,12",49,2019-2020,2.0
21K620,William E. Grady Career and Technical Education Hi,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,4,Approved,"9,10,11,12",44,2019-2020,2.0
21K690,Brooklyn Studio Secondary School,False,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",304,2019-2020,2.0
22K405,Midwood High School,False,90199,"Communications and Media Studies, Other","Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",393,2019-2020,1.0
22K405,Midwood High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,2,Approved,"9,10,11,12",456,2019-2020,1.0
22K405,Midwood High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",447,2019-2020,1.0
22K425,James Madison High School,False,110103,Information Technology,Information Technology Cluster,4,Non-Approved,"9,10,11,12",473,2019-2020,1.0
22K425,James Madison High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"10,11,12",442,2019-2020,1.0
22K425,James Madison High School,False,520899,"Finance and Financial Management Services, Other",Finance Cluster,3,Non-Approved,"10,11,12",74,2019-2020,1.0
24Q264,Academy of Finance and Enterprise,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Approved,"9,10,11,12",336,2019-2020,4.0
24Q264,Academy of Finance and Enterprise,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",320,2019-2020,4.0
24Q455,Newtown High School,False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,"9,10,11,12",423,2019-2020,2.0
24Q455,Newtown High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,4,Approved,"9,10,11,12",413,2019-2020,2.0
24Q485,Grover Cleveland High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,4,Non-Approved,"9,10,11,12",210,2019-2020,4.0
24Q550,High School for Arts and Business,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,4,Non-Approved,"9,10,11,12",311,2019-2020,0.0
24Q550,High School for Arts and Business,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,"9,10,11,12",278,2019-2020,0.0
24Q600,Queens Technical High School,True,110803,Computer Graphics,Information Technology Cluster,4,Approved,"9,10,11,12",107,2019-2020,14.0
24Q600,Queens Technical High School,True,110901,Computer Systems Networking and Telecommunications,Information Technology Cluster,3,Approved,"9,10,11,12",186,2019-2020,14.0
24Q600,Queens Technical High School,True,120401,"Cosmetology/Cosmetologist, General",Marketing Sales and Services Cluster,0,Approved,"9,10,11,12",213,2019-2020,14.0
24Q600,Queens Technical High School,True,120402,Barbering/Barber,Marketing Sales and Services Cluster,0,Non-Approved,"9,10,11,12",68,2019-2020,14.0
24Q600,Queens Technical High School,True,150303,"Electrical, Electronic and Communications Engineering Technology/Technician",Scientific Research and Engineering Cluster,2,Approved,"10,11,12",55,2019-2020,14.0
24Q600,Queens Technical High School,True,460302,Electrician,Architecture and Construction Cluster,4,Approved,"9,10,11,12",281,2019-2020,14.0
24Q600,Queens Technical High School,True,460503,Plumbing Technology/Plumber,Architecture and Construction Cluster,4,Approved,"9,10,11,12",220,2019-2020,14.0
24Q600,Queens Technical High School,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,0,Approved,"9,10,11,12",184,2019-2020,14.0
24Q610,Aviation Career & Technical Education High School,True,470608,Aircraft Powerplant Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,"9,10,11,12",2055,2019-2020,1.0
25Q425,John Bowne High School,False,10000,"Agriculture, General","Agriculture, Food and Natural Resources Cluster",0,Approved,"9,10,11,12",587,2019-2020,3.0
25Q425,John Bowne High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,0,Non-Approved,"9,10,11,12",618,2019-2020,3.0
25Q460,Flushing High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,11,Non-Approved,"9,10,11,12",255,2019-2020,2.0
25Q460,Flushing High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",272,2019-2020,2.0
25Q460,Flushing High School,False,521401,"Marketing/Marketing Management, General",Marketing Sales and Services Cluster,5,Approved,,0,2019-2020,2.0
25Q525,Townsend Harris High School,False,90402,Broadcast Journalism,"Arts, Audio/Video Technology and Communications Cluster",1,Non-Approved,"10,11,12",185,2019-2020,4.0
